"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY VII - VIII"
"
  Do czego służą wyrażenia

  algebraiczne?";"
  III. Tworzenie wyrażeń algebraicznych z jedną i z wieloma zmiennymi. Uczeń:

  1) zapisuje wyniki podanych działań w postaci wyrażeń algebraicznych jednej lub kilku zmiennych;

  3) zapisuje zależności przedstawione w zadaniach w postaci wyrażeń algebraicznych jednej lub kilku zmiennych;

  4) zapisuje rozwiązania zadań w postaci wyrażeń algebraicznych."
"
  Wartości liczbowe wyrażeń

  algebraicznych";"
  III. Tworzenie wyrażeń algebraicznych z jedną i z wieloma zmiennymi . Uczeń:

  2) oblicza wartości liczbowe wyrażeń algebraicznych."
"
  Jednomiany";"
  IV. Przekształcanie wyrażeń algebraiczny ch. Sumy algebraiczne i działania na nich. Uczeń:

  1) porządkuje jednomiany i dodaje jednomiany podobne (tzn. różniące się jedynie współczynnikiem liczbowym)."
"
  Sumy algebraiczne";"
  IV. Przekształcanie wyrażeń algebraicznych. Sumy algebraiczne i działania na nich. Uczeń:

  1) porządkuje jednomiany i dodaje jednomiany podobne (tzn. różniące się jedynie współczynnikiem liczbowym)."
"
  Dodawanie i odejmowanie

  sum algebraicznych";"
  IV. Przekształcanie wyrażeń algebraicznych. Sumy algebraiczne i działania na nich. Uczeń:

  2) dodaje i odejmuje sumy algebraiczne, redukując wyrazy podobne ."
"
  Mnożenie jednomianów

  przez sumy algebraiczne";"
  IV. Przekształcanie wyrażeń algebraicznych. Sumy algebraiczne i działania na nich. Uczeń:

  3) mnoży sumy algebraiczne przez jednomian i dodaje wyr ażenia powstałe z mnożenia sum algebraicznych przez jednomiany."
"
  Mnożenie sum

  algebraicznych";"
  IV. Przekształcanie wyrażeń algebraicznych. Sumy algebraiczne i działania na nich. Uczeń:

  4) mnoży dwumian przez dwumian, redukując wyrazy podobne."
"
  DZIAŁ 5. RÓWNANIA";
"
  Do czego służą równania?";"
  III. Tworzenie wyrażeń algebraicznych z jedną i z wieloma zmiennymi. Uczeń:

  1) zapisuje wyniki podanych działań w postaci wyrażeń algebraicznych jednej lub kilku zmiennych;

  3) zapisuje zależności przedstawione w zadaniach w postaci wyrażeń algebraicznych jednej lub kilku zmiennych;

  4) zapisuje rozwiązania zadań w postaci wyrażeń algebraicznych."
"
  Liczby spełniające równania";"
  VI. Równania z jedną niewiadomą. Uczeń:

  1) sprawdza, czy dana liczba jest rozwiązaniem równ ania (stopnia pierwszego, drugiego lub trzeciego) z jedną niewiadomą."
"
  Rozwiązywanie równań";"
  VI. Równania z jedną niewiadomą. Uczeń:

  2) rozwiązuje równania pierwszego stopnia z jedną niewiadomą metodą równań równoważnych;

  3) rozwiązuje równania, które po pr ostych przekształceniach wyrażeń algebraicznych sprowadzają się do równań pierwszego stopnia z jedną

  niewiadomą."
"
  Zadania tekstowe";"
  VI. Równania z jedną niewiadomą. Uczeń:

  4) rozwiązuje zadania tekstowe za pomocą równań pierwszego stopnia z jedną niewiadomą, w tym także z obliczeniami procentowymi."
"
  Procenty w zadaniach

  tekstowych";"
  VI. Równania z jedną niewiadomą. Uczeń:

  4) rozwiązuje zadania tekstowe za pomocą równań pierwszego stopnia z jedną niewiadomą, w tym także z obliczeniami procentowym i."
"
  P rzekształcanie wzorów";"
  VI. Równania z jedną niewiadomą. Uczeń:"

;"
  5) przekształca proste wzory, aby wyznaczyć zadaną wielkość we wzorach geometrycznych (np. pól figur) i fizycznych (np. dotyc zących

  prędkości, drogi i czasu)."
"
  DZIAŁ 6. POTĘGI I PIERWIASTKI";
"
  Potęga o wykładniku

  naturalnym";"
  I. Potęgi o podstawach wymiernych. Uczeń:

  1) zapisuje iloczyn jednakowych czynników w postaci potęgi o wykładniku całkowitym dodatnim."
"
  Iloczyn i iloraz potęg o

  jednakowych podstawach";"
  I. Potęgi o podstawach wymiernych. Uczeń:

  2) mnoży i dzieli potęgi o wykładnikach całkowitych dodatnich."
"
  Potęgowanie potęgi";"
  I. Potęgi o podstawach wymiernych. Uczeń:

  4) podnosi potęgę do potęgi."
"
  Potęgowanie iloczynu i

  ilorazu";"
  I. Potęgi o podstawach wymiernych . Uczeń:

  3) mnoży potęgi o różnych p odstawach i jednakowych wykładnikach."
"
  Działania na potęgach";"
  I. Potęgi o podstawach wymiernych. Uczeń:

  2) mnoży i dzieli potęgi o wykładnikach całkowitych dodatnich;

  3) mnoży potęgi o różnych podstawach i jednakowych wykładnikach;

  4) podnosi potęgę do potęgi."
"
  Notacja wykładnicza";"
  I. Potęgi o podstawach wymiernych. Uczeń:

  5) odczytuje i zapisuje liczby w notacji wykładniczej	∙ 10 , gdy 1  ≤	<  10 , k jest liczbą całkowitą."
"
  Notacja wykładnicza (cd.)";"
  I. Potęgi o podstawach wymiernych. Uczeń:

  5) odczytuje i zapisuje liczby w notacji wykładniczej	∙ 10 , gdy 1  ≤	<  10 , k jest liczbą całkowitą."
"
  Pierwiastki";"
  II. Pierwiastki. Uczeń:

  1) oblicza wartości pierwiastków kwadratowych i sześciennych z liczb, które są odpowiednio kwadratami lub sześcianami liczb wymiernych;

  2) szacuje wielkość danego pierwiastka kwadratowego lub sześciennego oraz wyrażenia arytmetycznego zawierającego pierwiastki;

  3) porównuje wartość wyrażenia arytmetycznego zawierającego pierwiastki z daną liczbą wymierną oraz znajduje liczby wymierne większe lub

  mniejsze od takiej wartości."
"
  Działania na pierwiastkach";"
  II. Pierwiastki. Uczeń:

  4) oblicza pierwiastek z iloczynu i ilorazu dwóch liczb, wyłącza liczbę przed znak pierwiastka i włącza liczbę pod znak pierw iastka;

  5) mn oży i dzieli pierwiastki tego samego stopnia."
"
  DZIAŁ 7. GRANIASTOSŁUPY";
"
  Przykłady graniastosłupów";"
  XI. Geometria przestrzenna. Uczeń:

  1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe;"
"
  Siatki graniastosłupów. Pole

  powierzchni";"
  XI. Geometria przestrzenna. Uczeń:

  2) oblicza objętości i pola powierzchni graniastosłupów prostych, prawidłowych i takich, które nie są prawidłowe ."
"
  Objętość prostopadłościanu.

  Jednostki objętości";"
  XI. Geometria przestrzenna. Uczeń:

  2) oblicza objętości i pola powierzchni graniastosłupów prostych, prawidłowych i takich, które nie są prawidłowe ."
"
  Objętość graniastosłupa";"
  XI. Geometria przestrzenna. Uczeń:

  2) oblicza objętości i pola powierzchni graniastosłupów prostych, prawidłowych i takich, które nie są prawidłowe ."

"
  DZIAŁ 8. STATYSTYKA";
"
  Odczytywanie danych

  statystycznych";"
  XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń:

  1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych, wykresów, w tym także wykresów w układzie

  współrzędnych ."
"
  Co to jest średnia?";"
  XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń:

  3) oblicza średnią arytmetyczną kilku liczb ."
"
  Zbieranie i opracowywanie

  danych statystycznych";"
  XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń:

  2) tworzy diagramy słupkowe i kołowe oraz wykresy liniowe na podstawie zebranych przez siebie danych lub danych pochodzących z różnych

  źródeł ."
"
  Zdarzenia losowe";"
  XII. Wprowadzenie do kombinatoryki i rachunku prawdopodobieństwa. Uczeń:

  1) wy znacza zbiory obiektów, analizuje i oblicza, ile jest obiektów, mających daną własność, w przypadkach niewymagających stosowa nia reguł

  mnożenia i dodawania;

  2) przeprowadza proste doświadczenia losowe, polegające na rzucie monetą, rzucie sześcienną kostką do gry, rzucie kostką wielościenną lub

  losowaniu kuli spośród zestawu kul, analizuje je i oblicza prawdopodobieństwa zdarzeń w doświadczeniach losowych."
