"
 Treści nauczania według podstawy programowej";"
 klasa IV";"
 klasa V";"
 klasa VI"
" 6) wskazuje na rysunku cięciwę, średnicę oraz promień koła

 i okręgu";"
	+";"
	+";"
	+"
" 7) rysuje cięciwę koła i okręgu, a także, jeżeli dany jest środek

 okręgu, promień i średnicę";"
	+";"
	+";"
	+"
" 8) w trójkącie równoramiennym wyznacza przy danym jednym

 kącie miary pozostałych katów oraz przy danym obwodzie

 i długości jednego boku długości pozostałych boków";;"

	+";"

	+"
 X. Bryły. Uczeń:;;;
" 1) rozpoznaje graniastosłupy proste, ostrosłupy, walce, stożki

 i kule w sytuacjach praktycznych i wskazuje te bryły wśród

 innych modeli brył";;"

	+";"

	+"
" 2) wskazuje wśród graniastosłupów prostopadłościany

 i sześciany i uzasadnia swój wybór";;"
	+";"
	+"
 3) rozpoznaje siatki graniastosłupów prostych i ostrosłupów;;"
	+";"
	+"
 4) rysuje siatki prostopadłościanów;	+;	+;	+
" 5) wykorzystuje podane zależności między długościami

 krawędzi graniastosłupa do wyznaczania długości

 poszczególnych krawędzi";;"

	+";"

	+"
 XI. Obliczenia w geometrii. Uczeń:;;;
 1) oblicza obwód wielokąta o danych długościach boków;	+;	+;	+
" 2) oblicza pola: kwadratu, prostokąta, rombu, równoległoboku,

 trójkąta, trapezu, przedstawionych na rysunku oraz

 w sytuacjach praktycznych, w tym także danych wymagających

 zamiany jednostek i w sytuacjach z nietypowymi wymiarami,

 na przykład pole trójkąta o boku 1 km i wysokości 1mm";"


	+";"


	+";"


	+"
" 3) stosuje jednostki pola: m2, cm2, km2, mm2, dm2, ar, hektar

 (bez zamiany jednostek w trakcie obliczeń)";"
	+";"
	+";"
	+"
" 4) oblicza pola wielokątów metodą podziału na mniejsze

 wielokąty lub uzupełniania do większych wielokątów";;"
	+";"
	+"
" 5) oblicza objętość i pole powierzchni prostopadłościanu przy

 danych długościach krawędzi";"
	+";"
	+";"
	+"
" 6) stosuje jednostki objętości i pojemności: litr, mililitr, dm3,

 m3, cm3,";;"
	+";"
	+"

"
 7) oblicza miary kątów, stosując przy tym poznane własności

 kątów i wielokątów";;"
	+";"
	+"
 XII. Obliczenia praktyczne. Uczeń:;;;
" 1) interpretuje 100% danej wielkości jako całość, 50% – jako

 połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą,

 a 1% – jako setną część danej wielkości liczbowej";;"

	+";"

	+"
" 2) w przypadkach osadzonych w kontekście praktycznym

 oblicza procent danej wielkości w stopniu trudności typu 50%,

 10%, 20%";;;"

	+"
" 3) wykonuje proste obliczenia zegarowe na godzinach,

 minutach i sekundach";"
	+";"
	+";"
	+"
" 4) wykonuje proste obliczenia kalendarzowe na dniach,

 tygodniach, miesiącach, latach";"
	+";"
	+";"
	+"
 5) odczytuje temperaturę (dodatnią i ujemną);;"
	+";"
	+"
" 6) zamienia i prawidłowo stosuje jednostki długości: metr,

 centymetr, decymetr, milimetr, kilometr";"
	+";"
	+";"
	+"
" 7) zamienia i prawidłowo stosuje jednostki masy: gram ,

 kilogram, dekagram, tona";"
	+";"
	+";"
	+"
" 8) oblicza rzeczywistą długość odcinka, gdy dana jest jego

 długość w skali, oraz długość odcinka w skali, gdy dana jest

 jego rzeczywista długość";"

	+";"

	+";"

	+"
" 9) w sytuacji praktycznej oblicza: drogę przy danej prędkości

 i danym czasie, prędkość przy danej drodze i danym czasie,

 czas przy danej drodze i danej prędkości oraz stosuje jednostki

 prędkości: km/h i m/s";;;"

	+"
 XIII. Elementy statystyki opisowej. Uczeń:;;;
 1) gromadzi i porządkuje dane;;;	+
" 2) odczytuje i interpretuje dane przedstawione w tekstach,

 tabelach, diagramach i na wykresach";;;"
	+"
 XIV. Zadania tekstowe. Uczeń:;;;
" 1) czyta ze zrozumieniem tekst zawierający informacje

 liczbowe";"
	+";"
	+";"
	+"
" 2) wykonuje wstępne czynności ułatwiające rozwiązanie

 zadania, w tym rysunek pomocniczy lub wygodne dla niego

 zapisanie informacji i danych z treści zadania";"

	+";"

	+";"

	+"
 3) dostrzega zależności między podanymi informacjami;	+;	+;	+
" 4) dzieli rozwiązanie zadania na etapy, stosując własne,

 poprawne, wygodne dla niego strategie rozwiązania";;"
	+";"
	+"
" 5) do rozwiązywania zadań osadzonych w kontekście

 praktycznym stosuje poznaną wiedzę z zakresu arytmetyki

 i geometrii oraz nabyte umiejętności rachunkowe, a także

 własne poprawne metody";;"

	+";"

	+"
" 6) weryfikuje wynik zadania tekstowego, oceniając sensowność

 rozwiązania np. poprzez szacowanie, sprawdzanie wszystkich

 warunków zadania, ocenianie rzędu wielkości otrzymanego

 wyniku";"

	+";"

	+";"

	+"
"
 7) układa zadania i łamigłówki, rozwiązuje je; stawia nowe

 pytania związane z sytuacją w rozwiązywanym zadaniu";;"
	+";"
	+"
