"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY VII - VIII"
"
  Odcinki w ostrosłupach";"
 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 7) zna i stosuje w sytuacjach pr aktycznych twierdzenie Pitagorasa (bez twierdzenia odwrotnego).

 IX. Wielokąty. Uczeń:

 1) zna pojęcie wielokąta foremnego;

 2) stosuje wzory na pole trójkąta, prostokąta, kwadratu, równoległoboku, rombu, trapezu, a także do wyznaczania długości odci nków w

 za daniach nie trudniejszych niż w przykładach.

 XI. Geometria przestrzenna. Uczeń:"

;"
 1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe;

 3) oblicza objętości ostrosłupów i pola powierzchni ostrosłupów prawidłowych i takich, które nie są prawi dłowe w zadaniach nie trudniejszych

 niż w przykładzie."
"
  DZIAŁ 6. SYMETRIE";
"
  Symetria względem prostej";"
 XV. Symetrie. Uczeń:

 3) rozpoznaje figury osiowosymetryczne i wskazuje ich osie symetrii oraz uzupełnia figurę do figury osiowosymetrycznej przy d anych: osi

 symetrii figury i części figury."
"
  Oś symetrii figury";"
 XV. Symetrie. Uczeń:

 3) rozpoznaje figury osiowosymetryczne i wskazuje ich osie symetrii oraz uzupełnia figurę do figury osiowosymetrycznej przy d anych: osi

 symetrii figury i części figury."
"
  Symetral na odcinka";"
 XV. Symetrie. Uczeń:

 1) rozpoznaje symetralną odcinka i dwusieczną kąta;

 2) zna i stosuje w zadaniach podstawowe własności symetralnej odcinka i dwusiecznej kąta."
"
  Dwusieczna kąta";"
 XV. Symetrie. Uczeń:

 1) rozpoznaje symetralną odcinka i dwusieczn ą kąta;

 2) zna i stosuje w zadaniach podstawowe własności symetralnej odcinka i dwusiecznej kąta."
"
  Symetria względem punktu";"
 XV. Symetrie. Uczeń:

 4) rozpoznaje figury środkowosymetryczne i wskazuje ich środki symetrii."
"
  Środek symetrii figury";"
 XV. Symetrie. Uczeń:

 4) rozpoznaje figury środkowosymetryczne i wskazuje ich środki symetrii."
"
  DZIAŁ 7. KOŁA I OKRĘGI";
"
  Styczna do okręgu";"
 Umiejętności nieujęte w podstawie programowej."
"
  Wzajemne położenie dwóch

  okręgów";"
 Umiejętności nieujęte w podstawie programowej."
  Liczba . Długość okręgu;"
 XIV. Długość okręgu i pole koła. Uczeń:

 1) oblicza długość okręgu o danym promieniu lub danej średnicy;

 2) oblicza promień lub średnicę okręgu o danej długości okręgu."
"
  Pole koła";"
 XIV. Długość okręgu i pole koła. Uczeń:

 3) oblicza p ole koła o danym promieniu lub danej średnicy;

 4) oblicza promień lub średnicę koła o danym polu."
"
  DZIAŁ 8. RACHUNEK PRAWDOPODOBIEŃSTWA";
"
  Ile jest możliwości?";"
 Umiejętności nieujęte w podstawie programowej."
"
  Obliczanie

  prawdopodobieństw (cd.)";"
 Umiejętności nieujęte w podstawie programowej."
