"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY IV -VI"
;"
  2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie infor macji i danych z

  treści zadania;

  3) dostrzega zależności między podanymi informacjami;

  4) d zieli rozwiązanie zadania na etapy, stosując własne, poprawne, wygodne dla niego strategie rozwiązania;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte umiejętności

  rachunkow e, a także własne poprawne metody;

  6) weryfikuje wynik zadania tekstowego, oceniając sensowność rozwiązania (…).

  7) układa zadania i łamigłówki, rozwiązuje je; stawia nowe pytania związane z sytuacją w rozwiązanym zadaniu."
"
  DZIAŁ 9. FIGURY PRZESTRZENNE";
"
  Prostopadłościany

  i sześciany";"
  X. Bryły. Uczeń:

  2) wskazuje wśród graniastosłupów prostopadłościany i sześciany oraz uzasadnia swój wybór;

  4) rysuje siatki prostopadłościanów;

  5) wykorzystuje podane zależności między długościami krawędzi graniastosłupa do w yznaczania długości poszczególnych krawędzi.

  XI. Obliczenia w geometrii. Uczeń:

  4) stosuje jednostki pola: mm 2, cm2, dm 2, m2, km2 (…) (bez zamiany jednostek w trakcie obliczeń);

  6) oblicza (….) pole powierzchni prostopadłościanu przy danych długościach kra wędzi."
"
  Graniastosłupy proste";"
  X. Bryły. Uczeń:

  1) rozpoznaje graniastosłupy proste (…) i wskazuje te bryły wśród innych modeli brył;

  3) rozpoznaje siatki graniastosłupów prostych (…);

  5) wykorzystuje podane zależności między długościami krawędzi graniastosłupa do wyznaczania długości poszczególnych krawędzi."
"
  Siatki graniastosłupów

  prostych";"
  X. Bryły. Uczeń:

  3) rozpoznaje siatki graniastosłupów prostych;

  4) rysuje siatki prostopadłościanów.?"
"
  Pole powierzchni

  graniastosłupa prostego";"
  Umiejętności nieujęte w podstawie programowej."
"
  Objętość

  p rostopadłościanu.

  Jednostki objętości";"
  XI. Obliczenia w geometrii. Uczeń:

  6) oblicza (…) pole powierzchni prostopadłościanu przy danych długościach krawędzi;

  7) stosuje jednostki objętości i pojemności: mililitr, litr, cm 3, dm3, m3 .

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie infor macji i danych z

  treści zadania;

  3) dostrzega zależności między podanymi informacjami;

  4) dzieli rozwiązanie zadania na etapy, stosując własne, poprawne, wygodne dla niego strategie rozwiązania;"

;"
  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte umiejętności

  rachunkowe, a także własne poprawne metody."
"
  Objętość graniastosłupa";"
  Umiejętności nieujęte w podstawie programowej."
"
  Ostrosłupy";"
  X. Bryły. Uczeń:

  1) rozpoznaje (…) ostrosłupy (…) i wskazuje te bryły wśród innych modeli brył;

  3) rozpoznaje siatki (…) ostrosłupów."
"
  Rozpoznawanie figur

  przestrzennych.";"
  X. Bryły. Uczeń:

  1) rozpoznaje graniastosłupy proste, ostrosłupy, walce, stożki i kule w sytuacjach praktycznych i wskazuje te bryły wśród innych modeli brył."
